cliente_id,contrato_id,parcela_numero,valor_parcela,vencimento,valor_em_aberto,status,data_pagamento,observacao,emissao
01372c1a96,65,1.0,200.0,2025-01-10,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-05-09
01372c1a96,65,2.0,200.0,2025-02-10,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-05-09
01372c1a96,65,3.0,200.0,2025-03-10,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-05-09
01372c1a96,65,4.0,200.0,2025-04-10,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-05-09
01372c1a96,65,5.0,200.0,2025-05-10,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-05-09
01372c1a96,65,6.0,200.0,2025-06-10,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-05-09
01372c1a96,65,7.0,200.0,2025-07-10,200.0,ABERTA,,Pedido: NF: Moeda:REAL,2024-05-09
01a8684288,2009,1.0,99.99,2026-01-15,99.99,ABERTA,,Pedido:2009 NF:0 Moeda:REAL,2025-06-11
022bc04b58,1495,1.0,90.8,2025-12-25,90.8,ABERTA,,Pedido:1495 NF:0 Moeda:REAL,2025-03-08
022bc04b58,1495,2.0,90.8,2026-01-25,90.8,ABERTA,,Pedido:1495 NF:0 Moeda:REAL,2025-03-08
0244619145,684,1.0,199.9,2025-01-20,199.9,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-19
0244619145,684,2.0,199.9,2025-02-20,199.9,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-19
0244619145,684,3.0,199.9,2025-03-20,199.9,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-19
0244619145,684,4.0,199.9,2025-04-20,199.9,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-19
0244619145,684,5.0,199.9,2025-05-20,199.9,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-19
0244619145,684,6.0,199.9,2025-06-20,199.9,ABERTA,,Pedido: NF: Moeda:REAL,2024-07-19
029ef524e2,3355,1.0,330.0,2026-02-09,330.0,ABERTA,,Pedido:3355 NF:0 Moeda:REAL,2026-01-09
029ef524e2,642,1.0,169.9,2025-11-05,169.9,ABERTA,,Pedido:642 NF:0 Moeda:REAL,2025-10-13
